Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
589568,1 baño,venta,e,205000,Señorial,2006,76.00,"178,6 kW h/m&sup2; año",,2024-10-31 19:49:22,,Av. Gloria Fuertes,centralizada (Gas),Granada,es,Andalucía,2 dorm.,Chana - Cerillo - Maracena
597690,2 baños,venta,c,172900,Señorial,1990,84.00,00 kW h/m&sup2; año,,2024-10-31 19:49:04,,Carretera de Málaga,,Granada,es,Andalucía,,Chana - Cerillo - Maracena
598343,1 baño,venta,e,109900,Popular,1970,89.00,"141,6 kWh/m&sup2; año",,2024-10-31 11:40:26,,C. Víctor Hugo,,Granada,es,Andalucía,2 dorm.,Cartuja - Traumatología
597989,1 baño,venta,g,35000,Media,1976,75.00,"268,8 kWh/m&sup2; año",,2024-10-31 11:40:29,,Pje. de Teba,,Granada,es,Andalucía,3 dorm.,Cartuja - Traumatología
597600,1 baño,venta,e,54900,Media,1970,70.00,"172,2 kW h/m&sup2; año",,2024-10-15 20:47:28,Baja,C. Joaquín Corral Almagro,,Granada,es,Andalucía,2 dorm.,Cartuja - Joaquina Eguaras
596918,1 baño,venta,,130000,Popular,1960,78.00,,,2024-10-31 17:16:54,,C. Azor,,Granada,es,Andalucía,,Chana - Villarejo - Barriada De La Cruz
598045,2 baños,venta,,230000,Popular,1968,113.00,,,2024-10-31 16:58:32,,Av. de la Constitución,,Granada,es,Andalucía,,Chana - Villarejo - Barriada De La Cruz
596247,,venta,,90000,Popular,1960,60.00,,,2024-10-31 16:45:28,,C. Antonio Machado,,Granada,es,Andalucía,2 dorm.,Chana - Villarejo - Barriada De La Cruz
596068,2 baños,venta,d,259900,Popular,1967,116.00,"97,63 kW h/m&sup2; año",Sí,2024-10-29 17:41:03,,C. Cibeles,,Granada,es,Andalucía,4 dorm.,Albayzín
597583,1 baño,venta,e,95000,Popular,1970,76.00,"142,59 kWh/m&sup2; año",,2024-10-22 19:48:20,,Calle Sanlúcar de Guadiana,,Huelva,es,Andalucía,3 dorm.,Fuentepiña - Poligono - Rosales - Pilar Balbueno
597654,,venta,,175000,Popular,2008,83.00,,,2024-10-22 19:03:40,3,C. Fenicios,,Huelva,es,Andalucía,2 dorm.,Avenida Andalucia - Hispanidad
595596,1 baño,venta,,149900,Popular,1975,90.00,,,2024-09-24 10:27:41,,C. Villa Mundaka,,Huelva,es,Andalucía,3 dorm.,Huerto Paco
598724,2 baños,venta,,94900,Popular,1980,90.00,,,2024-10-22 12:59:17,,C. Niágara,,Huelva,es,Andalucía,4 dorm.,Orden - Santa Marta
597009,1 baño,venta,g,99900,Popular,1968,70.00,326 kW h/m&sup2; año,,2024-10-16 18:56:12,,C. Hélice,,Huelva,es,Andalucía,3 dorm.,Avenida Andalucia - Hispanidad
599542,1 baño,venta,,52000,Media,1954,49.00,,,2024-10-29 12:48:51,3,C. Arizona,,Huelva,es,Andalucía,2 dorm.,Matadero
595025,1 baño,venta,,72900,Popular,1975,69.00,,,2024-09-18 20:14:24,,C. Río de la Plata,,Huelva,es,Andalucía,3 dorm.,Orden - Santa Marta
596365,1 baño,venta,,90000,Popular,1975,90.00,,,2024-10-08 20:15:39,,C. Condado,,Huelva,es,Andalucía,3 dorm.,Orden - Santa Marta
598544,2 baños,venta,,104000,Popular,2008,146.00,,Sí,2024-10-19 10:43:25,3,C. Río Guadalete,,Huelva,es,Andalucía,3 dorm.,Fuentepiña - Poligono - Rosales - Pilar Balbueno
597782,2 baños,venta,e,129000,Popular,1973,121.00,"108,5 kW h/m&sup2; año",,2024-10-18 11:53:13,,Pl. Eugenio Hermoso,,Huelva,es,Andalucía,4 dorm.,Fuentepiña - Poligono - Rosales - Pilar Balbueno
597818,1 baño,venta,e,105000,Popular,1975,115.00,"92,28 kW h/m&sup2; año",,2024-10-21 13:14:06,2,C. Manuel Sánchez,,Huelva,es,Andalucía,3 dorm.,Isla Chica - Viaplana
598562,3 baños,venta,,230000,Señorial,1987,180.00,,,2024-10-19 12:34:57,9,Av. Alcalde Federico Molina Orta,,Huelva,es,Andalucía,3 dorm.,Isla Chica - Viaplana
594230,2 baños,venta,,129900,Popular,1974,104.00,,Sí,2024-09-11 10:21:12,,C. Río de la Plata,,Huelva,es,Andalucía,4 dorm.,Orden - Santa Marta
573184,1 baño,venta,,95000,Media,1967,77.00,,,2024-06-26 19:32:32,,Paseo de la glorieta,,Huelva,es,Andalucía,3 dorm.,Las Colonias El Carmen
593726,2 baños,venta,,179900,Popular,1989,114.00,,,2024-09-06 20:13:46,,Av. Guatemala,,Huelva,es,Andalucía,4 dorm.,Matadero
597682,,venta,e,150000,Popular,1974,86.00,"231,19 kWh/m&sup2; año",Sí,2024-10-14 10:47:21,,Carr. Puente de la Sierra,,Jaén,es,Andalucía,3 dorm.,
541309,1 baño,venta,e,79000,Media,2015,91.00,"208,22 kW h/m&sup2; año",,2024-04-16 12:02:27,,C. los Caños,,Jaén,es,Andalucía,3 dorm.,
595888,1 baño,venta,e,87500,Popular,2007,74.00,"233,20 kW h/m&sup2; año",,2024-10-07 19:19:52,,Pl. San Juan de Dios,,Jaén,es,Andalucía,2 dorm.,
593108,,venta,,100000,De época,1980,174.00,,,2024-09-02 20:43:43,,C/ Juanito Valderrama,Independiente (Eléctrica),Jaén,es,Andalucía,4 dorm.,
596215,2 baños,venta,e,179000,Señorial,1950,108.00,"190,5 kW h/m&sup2; año",,2024-10-01 19:24:44,,Calle Martínez Montañés,centralizada (Eléctrica),Jaén,es,Andalucía,3 dorm.,
590090,2 baños,venta,,190000,Media,1998,102.00,,,2024-10-02 10:48:33,1,C/Ben Saprut,,Jaén,es,Andalucía,4 dorm.,
531521,1 baño,venta,f,69900,Popular,1975,60.00,"241,61 kWh/m&sup2; año",,2023-01-19 13:05:55,,Calle conserje enrique lopez,,Jaén,es,Andalucía,3 dorm.,
596048,,venta,,95800,Media,1979,93.00,,,2024-10-22 12:12:43,Baja,Calle Hurtado,,Jaén,es,Andalucía,3 dorm.,Jaén
592088,1 baño,venta,,75000,Media,1960,63.00,,,2024-09-26 20:33:47,,Calle Arco del Consuelo,,Jaén,es,Andalucía,2 dorm.,
592962,1 baño,venta,,124900,Popular,1977,81.00,,Sí,2024-09-05 19:16:10,,Calle Hurtado,,Jaén,es,Andalucía,,
580194,1 baño,venta,e,78000,Media,1988,85.00,"207,61 kWh/m&sup2; año",Sí,2024-04-22 20:17:13,1,Calle senda de los huertos,,Jaén,es,Andalucía,2 dorm.,
595245,,venta,,297000,Popular,1980,220.00,,,2024-10-07 12:44:29,,Plaza de la Constitución,,Jaén,es,Andalucía,,Jaén
308638,1 baño,venta,,54000,Popular,1960,69.00,,,2024-03-15 12:08:21,2,Calle Betania,,Jaén,es,Andalucía,2 dorm.,
595622,,venta,,83000,Media,1977,78.00,,,2024-10-02 12:40:43,,Plaza Virgen de los Desamparados,,Jaén,es,Andalucía,3 dorm.,
580277,2 baños,venta,,139900,Popular,1963,91.00,,,2024-04-22 12:00:22,,Calle tableron,,Jaén,es,Andalucía,2 dorm.,
598953,2 baños,venta,e,270000,Media,1970,111.00,"114,23 kW h/m&sup2; año",,2024-10-23 20:22:06,,Pje. Begoña,,Málaga,es,Andalucía,3 dorm.,Eugenio Gross - Echevarria
598525,1 baño,venta,e,289000,Media,1970,85.00,"127,3 kWh/m&sup2; año",Sí,2024-10-18 20:00:01,5 (planta alta),C. Manrique,,Málaga,es,Andalucía,3 dorm.,Cristo De La Epidemia - Victoria
580370,1 baño,venta,e,109000,Popular,1965,49.00,"102,8 kW h/m&sup2; año",,2024-10-23 13:55:21,1,Calle Obispo Juan de Eulate,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
575477,2 baños,venta,e,370000,Popular,1977,113.00,"90,0 kW h/m&sup2; año",Sí,2024-10-31 16:44:25,1,Alameda de Capuchinos,,Málaga,es,Andalucía,4 dorm.,Fuenteolletas
590793,1 baño,venta,e,218000,Media,1974,116.00,"70,7 kW h/m&sup2; año",Sí,2024-09-20 19:09:38,Baja,C. Conde de Ureña,,Málaga,es,Andalucía,3 dorm.,Cristo De La Epidemia - Victoria
594440,1 baño,venta,e,153000,Popular,1970,68.00,"81,25 kW h/m&sup2; año",,2024-09-16 20:33:52,,C. Alcalde Narciso Briales,,Málaga,es,Andalucía,3 dorm.,Jardín Botánico - Sagrada Família
596567,1 baño,venta,,129900,Popular,1981,78.00,,,2024-10-08 12:24:26,,Calle Genoveses,,Málaga,es,Andalucía,3 dorm.,Miraflores De Los Angeles
592134,1 baño,venta,e,178000,De época,1962,62.00,"120,3 kW h/m&sup2; año",,2024-08-14 18:20:14,1,Calle Obispo Alonso de la Cueva,,Málaga,es,Andalucía,3 dorm.,Fuenteolletas
595921,1 baño,venta,e,198000,Media,1992,87.00,"0089,00 kW h/m&sup2; año",,2024-09-26 11:44:11,3 (planta alta),C. Tizo,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
479261,2 baños,venta,g,229000,Señorial,1971,74.00,"149,9 kW h/m&sup2; año",Sí,2024-06-14 10:17:02,9,Av. Manuel Gorria,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
