"Year_Construction","Surface","Bathrooms","Property_Type","Bedrooms","Sale_Price","Autonomous_Community","Property"
1969,65,"1","Media","2",280000,"Cataluña","Piso"
1972,68,"1","Media","3",86000,"Cataluña","Piso"
1900,66,"1","Popular","3",109000,"Cataluña","Piso"
1969,74,"1","Popular","3",105000,"Cataluña","Piso"
2005,93,"1","Media","3",130000,"Cataluña","Piso"
1965,55,"1","Popular","2",138000,"Cataluña","Piso"
1968,51,"1","Popular","2",250000,"Comunidad De Madrid","Piso"
1925,37,"1","Media","2",225000,"Comunidad De Madrid","Piso"
1967,54,"1","Popular","2",213000,"Comunidad De Madrid","Piso"
1959,73,"1","Popular","3",225000,"Comunidad De Madrid","Piso"
1955,60,"1","Popular","2",183000,"Comunidad De Madrid","Piso"
1960,62,"1","Popular","2",239900,"Comunidad De Madrid","Piso"
1970,58,"1","Popular","3",215000,"Comunidad De Madrid","Piso"
1961,70,"1","Popular","3",280000,"Comunidad De Madrid","Piso"
1955,93,"1","Señorial","2",195000,"Comunidad Valenciana","Piso"
1990,137,"1","Señorial","3",279000,"Comunidad Valenciana","Piso"
1956,94,"1","Popular","4",139000,"Comunidad Valenciana","Piso"
1970,70,"1","Señorial","4",89000,"Comunidad Valenciana","Piso"
1970,108,"1","Popular","3",159000,"Comunidad Valenciana","Piso"
1967,91,"1","Media","3",124900,"Comunidad Valenciana","Piso"
1965,81,"1","Media","3",122000,"Comunidad Valenciana","Piso"
1984,70,"1","Popular","3",55000,"Comunidad Valenciana","Piso"
1966,130,"2","Popular","3",299000,"Comunidad Valenciana","Piso"
1965,85,"1","Señorial","4",70000,"Comunidad Valenciana","Piso"
1963,69,"1","Popular","2",130000,"Comunidad Valenciana","Piso"
1968,40,"1","Media","3",178500,"Comunidad Valenciana","Piso"
1967,75,"1","Popular","3",148000,"Comunidad Valenciana","Piso"
1969,83,"1","Popular","4",144900,"Comunidad Valenciana","Piso"
1975,106,"2","Media","3",172000,"Comunidad Valenciana","Piso"
1960,113,"1","Popular","4",250000,"Comunidad Valenciana","Piso"
1972,61,"1","Media","3",157500,"Comunidad Valenciana","Piso"
1955,75,"1","Señorial","3",179900,"Comunidad Valenciana","Piso"
1984,107,"2","Señorial","3",255000,"Comunidad Valenciana","Piso"
1981,160,"2","Media","4",330000,"Comunidad Valenciana","Piso"
1965,76,"1","Media","3",168500,"Comunidad Valenciana","Piso"
1967,77,"1","Popular","2",149000,"Comunidad Valenciana","Piso"
1963,88,"1","Media","3",265000,"Comunidad Valenciana","Piso"
1969,63,"1","Popular","3",117500,"Comunidad Valenciana","Piso"
1958,87,"1","Media","3",157500,"Comunidad Valenciana","Piso"
1970,92,"1","Popular","4",126500,"Comunidad Valenciana","Piso"
1963,88,"1","Popular","3",177500,"Comunidad Valenciana","Piso"
1973,97,"2","Señorial","3",220000,"Comunidad Valenciana","Piso"
1965,69,"1","Popular","3",74900,"Extremadura","Piso"
1976,94,"1","Media","3",96000,"Extremadura","Piso"
1967,82,"1","Media","3",85000,"Extremadura","Piso"
1999,100,"2","Popular","4",79900,"Extremadura","Piso"
1999,90,"1","Popular","3",86000,"Extremadura","Piso"
1972,100,"1","Popular","3",139900,"Extremadura","Piso"
2002,120,"2","Popular","3",215000,"Extremadura","Piso"
1970,120,"1","Popular","4",129900,"Extremadura","Piso"
2000,90,"1","Popular","3",57500,"Extremadura","Piso"
2008,132,"1","Popular","3",249900,"Extremadura","Piso"
2000,132,"2","Popular","4",180900,"Extremadura","Piso"
1998,111,"1","Popular","2",145500,"Extremadura","Piso"
1990,75,"1","Popular","4",127500,"Extremadura","Piso"
2001,127,"1","Popular","3",135000,"Extremadura","Piso"
1957,60,"1","Popular","3",160000,"País Vasco","Piso"
1995,75,"1","Popular","2",205000,"País Vasco","Piso"
1972,75,"1","Popular","3",210000,"País Vasco","Piso"
1949,63,"1","Popular","3",185000,"País Vasco","Piso"
1980,114,"2","Popular","4",89990,"Andalucía","Casa"
1962,157,"2","Popular","3",108000,"Andalucía","Casa"
1930,55,"1","Popular","3",44999,"Andalucía","Casa"
2004,230,"1","Popular","4",395000,"Andalucía","Casa"
2001,115,"1","Media","3",154900,"Andalucía","Casa"
1920,89,"1","Media","3",64900,"Andalucía","Casa"
1965,180,"2","Señorial","3",150000,"Andalucía","Casa"
1920,114,"1","Popular","3",59999,"Andalucía","Casa"
2003,102,"2","Popular","3",130000,"Andalucía","Casa"
1920,55,"1","Popular","3",29900,"Andalucía","Casa"
1987,86,"2","Popular","3",130000,"Andalucía","Casa"
2001,141,"2","Popular","4",139000,"Andalucía","Casa"
1969,118,"1","Media","5",310000,"Andalucía","Casa"
1998,145,"2","Popular","4",139900,"Andalucía","Casa"
2001,156,"2","Media","4",189000,"Andalucía","Casa"
2004,160,"2","Media","4",179900,"Andalucía","Casa"
2017,85,"1","Media","2",65000,"Andalucía","Casa"
1974,60,"1","Media","2",89900,"Andalucía","Casa"
1970,60,"1","De época","3",56000,"Andalucía","Casa"
2000,118,"3","Popular","3",240000,"Andalucía","Casa"
1953,84,"1","Media","2",110000,"Andalucía","Casa"
1950,66,"1","Media","2",88000,"Andalucía","Casa"
2011,57,"1","Media","2",69900,"Andalucía","Casa"
2004,86,"2","Media","3",109000,"Andalucía","Casa"
1953,60,"1","Media","3",59800,"Andalucía","Casa"
1949,144,"2","Popular","2",145000,"Andalucía","Casa"
1960,97,"1","Media","2",97500,"Andalucía","Casa"
1900,65,"1","Media","3",79990,"Andalucía","Casa"
1970,114,"1","Popular","3",104900,"Andalucía","Casa"
2000,118,"3","Popular","2",299900,"Andalucía","Casa"
1980,81,"3","Popular","3",279900,"Andalucía","Casa"
1910,80,"1","Popular","2",184900,"Andalucía","Casa"
1970,80,"1","Popular","3",249900,"Andalucía","Casa"
1910,108,"3","Popular","3",398900,"Andalucía","Casa"
1997,126,"3","Popular","4",249000,"Andalucía","Casa"
1969,80,"1","Media","3",138000,"Andalucía","Casa"
1975,210,"1","Popular","3",459900,"Andalucía","Casa"
1970,142,"1","Media","4",265000,"Andalucía","Casa"
1900,234,"2","Popular","4",399900,"Andalucía","Casa"
1994,195,"1","Popular","3",447900,"Andalucía","Casa"
1950,76,"1","Media","2",79900,"Andalucía","Casa"
1940,163,"1","De época","3",44900,"Andalucía","Casa"
1964,71,"1","De época","3",125000,"Andalucía","Casa"
1960,85,"1","Señorial","3",32000,"Andalucía","Casa"
1930,376,"1","Popular","3",110000,"Andalucía","Casa"
1960,109,"2","Media","2",18500,"Andalucía","Casa"
2000,90,"2","Señorial","2",77500,"Andalucía","Casa"
2010,160,"2","Media","3",169000,"Andalucía","Casa"
1950,167,"1","Media","3",86000,"Andalucía","Casa"
1993,345,"1","Señorial","3",380000,"Andalucía","Casa"
1990,338,"1","Señorial","3",322000,"Andalucía","Casa"
1950,278,"2","Media","4",109000,"Andalucía","Casa"
1965,136,"1","Media","3",18500,"Andalucía","Casa"
1940,143,"1","De época","3",47000,"Andalucía","Casa"
1940,222,"2","De época","4",45500,"Andalucía","Casa"
2007,62,"2","Popular","3",85500,"Andalucía","Casa"
1960,154,"1","Media","4",300000,"Andalucía","Casa"
1998,275,"2","Popular","3",349900,"Andalucía","Casa"
1990,172,"2","Popular","3",350000,"Andalucía","Casa"
1936,85,"1","De época","2",310000,"Andalucía","Casa"
1954,78,"1","Media","3",262000,"Andalucía","Casa"
2005,102,"3","Media","3",369000,"Andalucía","Casa"
1944,173,"2","Media","4",343000,"Andalucía","Casa"
1944,185,"2","Popular","4",349000,"Andalucía","Casa"
1994,97,"1","Media","4",350000,"Andalucía","Casa"
1968,96,"2","Media","2",120000,"Andalucía","Casa"
1997,214,"3","Popular","4",369000,"Andalucía","Casa"
2007,119,"1","Media","3",250000,"Andalucía","Casa"
1986,270,"3","Media","4",289900,"Andalucía","Casa"
1970,157,"2","Señorial","4",229990,"Andalucía","Casa"
1999,78,"1","Media","2",108000,"Andalucía","Casa"
1984,135,"2","Media","3",117260,"Andalucía","Casa"
1958,122,"2","Media","4",145000,"Andalucía","Casa"
1936,133,"2","Popular","4",189990,"Andalucía","Casa"
1978,256,"1","Señorial","3",159500,"Andalucía","Casa"
1962,144,"2","Popular","3",156000,"Andalucía","Casa"
2010,200,"2","Popular","4",235000,"Andalucía","Casa"
1932,109,"1","Media","3",89990,"Andalucía","Casa"
1930,100,"1","Popular","2",99990,"Andalucía","Casa"
1970,225,"2","Señorial","3",118000,"Andalucía","Casa"
1963,166,"1","Media","3",127000,"Andalucía","Casa"
1981,139,"2","Popular","3",107000,"Andalucía","Casa"
1982,156,"1","Señorial","3",145000,"Andalucía","Casa"
1955,122,"1","Media","3",255000,"Andalucía","Casa"
1956,128,"1","Popular","3",128000,"Aragón","Casa"
1990,178,"2","Media","3",238000,"Aragón","Casa"
1972,136,"1","Media","3",166000,"Aragón","Casa"
1950,124,"1","Popular","4",197500,"Aragón","Casa"
1989,160,"1","Popular","3",70000,"Canarias","Casa"
1980,90,"1","Popular","3",65000,"Canarias","Casa"
1952,71,"1","Popular","3",59900,"Castilla Y León","Casa"
1995,241,"2","Popular","4",165000,"Castilla Y León","Casa"
1994,179,"3","Media","3",314900,"Castilla Y León","Casa"
1988,243,"3","Señorial","4",299900,"Castilla Y León","Casa"
1940,145,"1","Popular","3",95000,"Castilla Y León","Casa"
1936,60,"1","Media","3",59900,"Castilla Y León","Casa"
2009,140,"2","Popular","4",159900,"Castilla Y León","Casa"
1958,91,"1","Popular","3",114900,"Castilla Y León","Casa"
1960,150,"2","Popular","4",154900,"Castilla Y León","Casa"
1940,96,"1","Popular","3",63900,"Castilla Y León","Casa"
1900,226,"1","Media","3",210000,"Castilla-La Mancha","Casa"
1900,108,"2","Media","3",120000,"Castilla-La Mancha","Casa"
1965,100,"2","Media","4",234900,"Castilla-La Mancha","Casa"
2009,149,"3","Media","4",176990,"Castilla-La Mancha","Casa"
2005,190,"1","Popular","3",319999,"Castilla-La Mancha","Casa"
1970,105,"1","Popular","3",104990,"Castilla-La Mancha","Casa"
1936,55,"1","Popular","2",139000,"Cataluña","Casa"
1960,83,"1","Señorial","2",135000,"Cataluña","Casa"
1985,250,"2","Media","4",259000,"Cataluña","Casa"
1900,70,"1","Popular","2",169000,"Comunidad De Madrid","Casa"
2003,90,"2","Popular","3",365000,"Comunidad De Madrid","Casa"
1978,30,"1","Popular","2",117000,"Comunidad De Madrid","Casa"
1980,147,"1","Media","2",249900,"Comunidad Valenciana","Casa"
1978,84,"3","Popular","3",269000,"Comunidad Valenciana","Casa"
1950,228,"2","Señorial","3",290000,"Comunidad Valenciana","Casa"
1960,80,"1","Popular","3",47500,"Extremadura","Casa"
1972,82,"1","Popular","3",89900,"Extremadura","Casa"
2007,148,"1","Media","2",83900,"Extremadura","Casa"
1964,103,"1","Popular","3",57200,"Extremadura","Casa"
1974,142,"2","Popular","3",53800,"Extremadura","Casa"
1964,102,"1","Popular","2",24900,"Extremadura","Casa"
1980,105,"1","Señorial","3",121000,"Extremadura","Casa"
1975,91,"1","Popular","3",74900,"Extremadura","Casa"
1990,100,"1","Popular","3",24900,"Extremadura","Casa"
